name,Eng_name,reason
凉宫春日的忧郁,The Melancholy of Haruhi Suzumiya,
钢之炼金术师 FULLMETAL ALCHEMIST,Fullmetal Alchemist: Brotherhood,
千与千寻,Spirited Away,
幸运星,Lucky Star,
CLANNAD,CLANNAD,
寻梦环游记,Coco,
命运石之门,Steins;Gate,
魔法少女小圆,Puella Magi Madoka Magica,
赛博朋克：边缘行者,Cyberpunk: Edgerunners,
妖精森林的小不点,Hakumei and Mikochi,
轻音少女,K-ON!,
超时空辉夜姬！,Cosmic Princess Kaguya!,
小城日常,CITY THE ANIMATION,
一拳超人,One-Punch Man,
龙与魔女,BURN THE WITCH,
魔女之旅,Wandering Witch: The Journey of Elaina,
奇诺之旅,Kino's Journey,
你的名字,Your Name.,
凉宫春日的消失,The Disappearance of Haruhi Suzumiya,
灵能百分百,Mob Psycho 100,
蔷薇少女,Rozen Maiden,
OVERLORD,OVERLORD,
天使的心跳！,Angel Beats!,
瑞克和莫蒂,Rick and Morty,
笨蛋，测验，召唤兽,Baka and Test: Summon the Beasts,
英雄联盟：双城之战,Arcane,
明天，美食广场见,See You Tomorrow at the Food Court,
碧蓝之海,Grand Blue,
莉可丽丝：友谊是时间的窃贼,Lycoris Recoil: Friends are thieves of time.,
暗杀教室,Assassination Classroom,
丹特丽安的书架,The Mystic Archives of Dantalian,
派对浪客诸葛孔明,Ya Boy Kongming!,
刀剑神域,Sword Art Online,
死亡笔记,Death Note,
四月是你的谎言,Your Lie in April,
女高中生的无所事事,Wasteful Days of High School Girls,
游戏人生,No Game No Life,
海洋之歌,Song of the Sea,
普罗米亚,Promare,
龙王的工作！,The Ryuo's Work Is Never Done!,
BanG Dream!,BanG Dream!,
干物妹！小埋,Himouto! Umaru-chan,
野良神,Noragami,
